Reference,Quantity,Value,Description,Manufacturer,MPN,Package,Supplier,Notes
J3,1,RS485_BUS,"3-pin terminal block 5.08mm pitch A/B/GND",Phoenix Contact,1757022,5.08mm,Mouser/DigiKey,RS-485 field wiring
J4,1,TERM_JUMPER,"2-pin header 2.54mm for 120ohm termination",Generic,--,2.54mm,Generic,RS-485 termination enable
J5,1,SWD_10PIN,"2x5 SWD debug header 1.27mm pitch",Samtec,FTSH-105-01-L-DV-K,1.27mm,Mouser/DigiKey,SWD programming/debug
J6,1,MICRO_SD,"MicroSD card slot with card detect",Molex,5031821852,Push-push,Mouser/DigiKey,SD card data logging
LED1,1,Green,"0805 LED green heartbeat",Wurth,150080GS75000,0805,Mouser/DigiKey,System OK heartbeat
LED2,1,Orange,"0805 LED orange acquisition",Wurth,150080YS75000,0805,Mouser/DigiKey,Data acquisition active
LED3,1,Red,"0805 LED red fault/alarm",Wurth,150080RS75000,0805,Mouser/DigiKey,Fault/alarm indicator
LED4,1,Blue,"0805 LED blue SD activity",Wurth,150080BS75000,0805,Mouser/DigiKey,SD card write activity
R_DIV_HI,16,1M,"1% 0.25W voltage divider high-side",Yageo,RC0805FR-071ML,0805,Mouser/DigiKey,String voltage divider 1M top
R_DIV_LO,16,2.5K,"0.1% precision voltage divider low-side",Vishay,TNPW08052K50BEEN,0805,Mouser/DigiKey,String voltage divider 2.5K bottom
R_SHUNT,16,10mV/A,"Current shunt resistor 15A",Bourns,CSS2H-2512R-L010F,2512,Mouser/DigiKey,String current shunt (10mohm)
R_FILT,32,100R,"1% thin film EMI filter series",Yageo,RC0805FR-07100RL,0805,Mouser/DigiKey,Input filter series resistors
R_LED,4,1K,"LED current limiting resistors",Yageo,RC0805FR-071KL,0805,Mouser/DigiKey,LED series resistors
R_PU_DRDY,1,10K,"Pull-up for ADS1263 DRDY",Yageo,RC0805FR-0710KL,0805,Mouser/DigiKey,DRDY pull-up
R_PU_RST,1,10K,"Pull-up for ADS1263 RESET",Yageo,RC0805FR-0710KL,0805,Mouser/DigiKey,RESET pull-up
R_PU_I2C,2,4.7K,"I2C pull-up resistors SCL/SDA",Yageo,RC0805FR-074K7L,0805,Mouser/DigiKey,I2C bus pull-ups
R_PU_SD,2,10K,"SD card DAT0 and DAT3 pull-ups",Yageo,RC0805FR-0710KL,0805,Mouser/DigiKey,SD card pull-ups
R_BIAS_A,1,470R,"RS-485 A line failsafe bias to VCC",Yageo,RC0805FR-07470RL,0805,Mouser/DigiKey,Failsafe bias pull-up
R_BIAS_B,1,470R,"RS-485 B line failsafe bias to GND",Yageo,RC0805FR-07470RL,0805,Mouser/DigiKey,Failsafe bias pull-down
R_TERM,1,120R,"RS-485 bus termination",Yageo,RC0805FR-07120RL,0805,Mouser/DigiKey,Line termination
R_BOOT0,1,10K,"BOOT0 pull-down resistor",Yageo,RC0805FR-0710KL,0805,Mouser/DigiKey,Force flash boot
R_NRST,1,10K,"NRST pull-up resistor",Yageo,RC0805FR-0710KL,0805,Mouser/DigiKey,Reset pull-up
R_SPI,6,33R,"SPI series damping resistors",Yageo,RC0805FR-0733RL,0805,Mouser/DigiKey,SPI1 signal integrity
C_IN_BULK,1,680uF/35V,"Input bulk electrolytic capacitor",Panasonic,EEU-FR1V681B,10x12.5mm,Mouser/DigiKey,24V input bulk
C_OUT_BULK,1,220uF/10V,"5V output bulk electrolytic capacitor",Panasonic,EEU-FR1A221B,6.3x7.7mm,Mouser/DigiKey,5V output bulk
C_LDO_IN,1,10uF/10V,"AMS1117 input capacitor ceramic",Samsung,CL21A106KPFNNNE,0805,Mouser/DigiKey,LDO input decoupling
C_LDO_OUT,1,22uF/6.3V,"AMS1117 output capacitor ceramic",Samsung,CL21A226MPCLQNC,0805,Mouser/DigiKey,LDO output decoupling
C_BYPASS,7,100nF,"VDD pin bypass capacitors ceramic",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,MCU VDD decoupling (one per pin)
C_VDDA,1,1uF,"VDDA decoupling ceramic",Samsung,CL21B105KAFNNNE,0805,Mouser/DigiKey,Analog supply decoupling
C_VDDA2,1,100nF,"VDDA high-freq bypass ceramic",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,Analog HF bypass
C_BULK_VDD,1,4.7uF,"VDD bulk decoupling ceramic",Samsung,CL21A475KAQNNNE,0805,Mouser/DigiKey,Digital supply bulk
C_HSE,2,20pF,"HSE crystal load capacitors NP0/C0G",Kemet,C0805C200J5GACTU,0805,Mouser/DigiKey,8 MHz crystal load
C_LSE,2,6.8pF,"LSE crystal load capacitors NP0/C0G",Kemet,C0805C689C5GACTU,0805,Mouser/DigiKey,32.768 kHz crystal load
C_ADC_AV,1,10uF,"ADS1263 AVDD decoupling",Samsung,CL21A106KPFNNNE,0805,Mouser/DigiKey,ADC analog supply
C_ADC_AV2,1,100nF,"ADS1263 AVDD HF bypass",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,ADC analog HF bypass
C_ADC_DV,1,10uF,"ADS1263 DVDD decoupling",Samsung,CL21A106KPFNNNE,0805,Mouser/DigiKey,ADC digital supply
C_ADC_DV2,1,100nF,"ADS1263 DVDD HF bypass",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,ADC digital HF bypass
C_ADC_BP,1,1uF,"ADS1263 BYPASS pin capacitor",Samsung,CL21B105KAFNNNE,0805,Mouser/DigiKey,Internal ref bypass
C_ADC_REF,1,10uF,"ADS1263 VREF bypass",Samsung,CL21A106KPFNNNE,0805,Mouser/DigiKey,Reference voltage bypass
C_FILT,32,100nF,"Input filter capacitors C0G/NP0",Kemet,C0805C104J5GACTU,0805,Mouser/DigiKey,EMI filter shunt (32 channels)
C_SP3485,1,100nF,"SP3485 VCC decoupling",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,RS-485 IC decoupling
C_TMP117,1,100nF,"TMP117 V+ decoupling",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,Temp sensor decoupling
C_SD_VDD,1,10uF,"SD card VDD decoupling",Samsung,CL21A106KPFNNNE,0805,Mouser/DigiKey,SD card supply
C_SD_VDD2,1,100nF,"SD card VDD HF bypass",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,SD card HF bypass
C_MUX_A,1,100nF,"MUX A VCC decoupling",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,MUX A IC decoupling
C_MUX_B,1,100nF,"MUX B VCC decoupling",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,MUX B IC decoupling
C_NRST,1,100nF,"NRST filter capacitor",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,Reset RC filter
C_IN_CER,1,100nF,"Input ceramic bypass",Samsung,CL21B104KBCNNNC,0805,Mouser/DigiKey,24V input HF bypass
FB1,1,600R@100MHz,"Ferrite bead input EMI",Murata,BLM21PG601SN1D,0805,Mouser/DigiKey,Input EMI filter
