Reference,Qty,Value,Description,Package/Footprint,MPN,Manufacturer,Category,Unit Price (USD),Ext Price (USD),Datasheet
"C41-C42",2,2.2uF,"VCAP1/VCAP2 capacitors",0805,GRM21BR61A225KA73L,Murata,Capacitor,0.06,0.12,
"C20-C21",2,15pF,"HSE load capacitors",0402,GRM1555C1H150GA01D,Murata,Capacitor,0.02,0.04,
"C22-C23",2,6.8pF,"LSE load capacitors",0402,GRM1555C1H6R8BA01D,Murata,Capacitor,0.02,0.04,
C50,1,100nF,"NRST filter capacitor",0402,GRM155R71C104KA88D,Murata,Capacitor,0.02,0.02,
R10,1,10k,"NRST pull-up resistor",0402,RC0402FR-0710KL,Yageo,Resistor,0.01,0.01,
R11,1,10k,"BOOT0 pull-down resistor",0402,RC0402FR-0710KL,Yageo,Resistor,0.01,0.01,
"=== STATUS LEDs ===",,,,,,,,,,,
LED2,1,Blue,"Status LED blue",0603,19-213/BHC-ZL1M2RY/3T,Everlight,LED,0.06,0.06,
LED3,1,Red,"Error LED red",0603,19-213/R6C-AL1M2VY/3T,Everlight,LED,0.05,0.05,
"R12-R13",2,1k,"LED current limiting",0402,RC0402FR-071KL,Yageo,Resistor,0.01,0.02,
"=== ANALOG INPUTS (4ch) ===",,,,,,,,,,,
"J20-J23",4,AI Input,"Analog input terminal blocks",5.08mm 2-pin,1729128,Phoenix Contact,Connector,0.85,3.40,
"D10-D13",4,PESD5V0S1BA,"ESD protection TVS per AI channel",SOD-323,"PESD5V0S1BA,115",Nexperia,Protection,0.08,0.32,
"R20/R24/R28/R32x",4,"249R 0.1%","4-20mA shunt resistors (precision)",0805,ERA-6AEB2490V,Panasonic,Resistor,0.25,1.00,
"R21/R25/R29/R33x",4,"20k 0.1%","Voltage divider top (0-10V mode)",0805,ERA-6AEB2002V,Panasonic,Resistor,0.20,0.80,
"R22/R26/R30x/R34",4,"10k 0.1%","Voltage divider bottom (0-10V mode)",0805,ERA-6AEB1002V,Panasonic,Resistor,0.20,0.80,
"R23/R27/R31x/R35",4,1k,"Anti-aliasing filter resistors",0402,RC0402FR-071KL,Yageo,Resistor,0.01,0.04,
"C60-C63",4,"100nF C0G","Anti-aliasing filter capacitors (low distortion)",0402,GRM1555C1H104JA01D,Murata,Capacitor,0.04,0.16,
"U20-U21",2,OPA2376AIDGKR,"Dual rail-to-rail op-amp, low offset, precision buffer",MSOP-8,OPA2376AIDGKR,Texas Instruments,Op-Amp,2.50,5.00,https://www.ti.com/lit/ds/symlink/opa2376.pdf
"=== DIGITAL INPUTS (8ch) ===",,,,,,,,,,,
"J30-J37",8,DI Input,"Digital input terminal blocks",5.08mm 2-pin,1729128,Phoenix Contact,Connector,0.85,6.80,
"R30-R37x",8,4.7k,"Optocoupler LED current limiting (24V/4.5mA)",0805,RC0805JR-074K7L,Yageo,Resistor,0.02,0.16,
"U30-U37",8,"TLP293(GR","Optocoupler isolator (3.75kVrms)",SOP-4,"TLP293(GR-TPL,E",Toshiba,Isolator,0.45,3.60,
"R38-R45",8,10k,"Optocoupler output pull-up resistors",0402,RC0402FR-0710KL,Yageo,Resistor,0.01,0.08,
"=== DIGITAL OUTPUTS (4ch) ===",,,,,,,,,,,
U31,1,ULN2003AIDR,"7-ch Darlington transistor array driver",SOIC-16,ULN2003AIDR,Texas Instruments,Driver IC,0.35,0.35,
"K1-K4",4,HF46F-G/5-HS1T,"SPDT relay 5A/250VAC",THT SIP,HF46F-G/5-HS1T,Hongfa,Relay,1.50,6.00,
"J40-J43",4,DO Output,"Relay output terminal blocks (NO/COM/NC)",5.08mm 3-pin,1729131,Phoenix Contact,Connector,1.20,4.80,
"=== RS485 INTERFACE ===",,,,,,,,,,,
U40,1,ISO3082DWR,"Isolated RS-485 transceiver (5kVrms)",SOIC-16W,ISO3082DWR,Texas Instruments,Interface IC,3.85,3.85,https://www.ti.com/lit/ds/symlink/iso3082.pdf
R40,1,120R,"RS485 bus termination (jumper selectable)",0805,RC0805FR-07120RL,Yageo,Resistor,0.02,0.02,
D20,1,PESD2CAN,"RS485 bus ESD protection",SOT-23,"PESD2CAN,215",Nexperia,Protection,0.12,0.12,
J50,1,RS485 A/B/GND,"RS485 bus terminal block",5.08mm 3-pin,1729131,Phoenix Contact,Connector,1.20,1.20,
C70,1,100nF,"ISO3082 MCU-side decoupling",0402,GRM155R71C104KA88D,Murata,Capacitor,0.02,0.02,
"=== CAN FD INTERFACE ===",,,,,,,,,,,
U41,1,ISO1042BQDWRQ1,"Isolated CAN FD transceiver (5kVrms, 5Mbps)",SOIC-16W,ISO1042BQDWRQ1,Texas Instruments,Interface IC,4.20,4.20,https://www.ti.com/lit/ds/symlink/iso1042.pdf
R41,1,120R,"CAN bus termination (jumper selectable)",0805,RC0805FR-07120RL,Yageo,Resistor,0.02,0.02,
D21,1,PESD2CAN,"CAN bus ESD protection",SOT-23,"PESD2CAN,215",Nexperia,Protection,0.12,0.12,
J51,1,CAN H/L/GND,"CAN bus terminal block",5.08mm 3-pin,1729131,Phoenix Contact,Connector,1.20,1.20,
"=== ETHERNET ===",,,,,,,,,,,
U50,1,LAN8742A-CZ-TR,"10/100 Ethernet PHY, RMII interface",QFN-24,LAN8742A-CZ-TR,Microchip,Interface IC,1.85,1.85,https://ww1.microchip.com/downloads/en/DeviceDoc/8742A.pdf
J60,1,J0011D21BNL,"RJ45 with integrated magnetics + LEDs",THT Shielded,J0011D21BNL,Pulse Electronics,Connector,3.50,3.50,
"C80-C81",2,100nF,"PHY decoupling capacitors",0402,GRM155R71C104KA88D,Murata,Capacitor,0.02,0.04,
C82,1,10uF,"PHY bulk decoupling",0805,GRM21BR61A106ME51L,Murata,Capacitor,0.10,0.10,
"R50-R51",2,49.9R,"TX differential pair series termination",0402,RC0402FR-0749R9L,Yageo,Resistor,0.01,0.02,
R52,1,10k,"PHY NRST pull-up",0402,RC0402FR-0710KL,Yageo,Resistor,0.01,0.01,
D30,1,PESD5V0S2BT,"Ethernet ESD protection",SOT-23,"PESD5V0S2BT,215",Nexperia,Protection,0.10,0.10,
"=== LoRa (SX1276) ===",,,,,,,,,,,
U60,1,RFM95W-915S2,"LoRa transceiver module 868/915MHz, SX1276",SMD Module,RFM95W-915S2,HopeRF,RF Module,6.50,6.50,
J70,1,SMA LoRa,"SMA edge-mount antenna connector",Edge Mount,132289,Amphenol,Connector,1.80,1.80,
L10,1,5.6nH,"Antenna matching inductor",0402,LQW15AN5N6B80D,Murata,Inductor,0.08,0.08,
"C90-C91",2,"100nF/10uF","LoRa power decoupling",0402/0805,"GRM155/GRM21B",Murata,Capacitor,0.06,0.12,
"=== BLE + WiFi (ESP32-C3) ===",,,,,,,,,,,
U61,1,ESP32-C3-MINI-1-N4,"WiFi 802.11 b/g/n + BLE 5.0 module, 4MB flash",SMD Module,ESP32-C3-MINI-1-N4,Espressif,RF Module,2.80,2.80,
J71,1,U.FL WiFi/BLE,"u.FL antenna connector for WiFi/BLE",SMD,U.FL-R-SMT-1(80),Hirose,Connector,0.45,0.45,
"C92-C93",2,"10uF/100nF","ESP32 power decoupling",0805/0402,"GRM21B/GRM155",Murata,Capacitor,0.06,0.12,
R60,1,10k,"ESP32 EN pull-up",0402,RC0402FR-0710KL,Yageo,Resistor,0.01,0.01,
"=== GSM/LTE (SIM7600G-H) ===",,,,,,,,,,,
U62,1,SIM7600G-H,"LTE Cat-1 + 2G/3G global modem module",LCC,SIM7600G-H,SIMCom,GSM Module,28.00,28.00,https://www.simcom.com/product/SIM7600G-H.html
J72,1,Nano SIM,"Nano SIM card push-push holder",SMD,503398-1892,Molex,Connector,0.95,0.95,
J73,1,SMA LTE Main,"SMA edge-mount for LTE main antenna",Edge Mount,132289,Amphenol,Connector,1.80,1.80,
J74,1,SMA GNSS,"SMA edge-mount for GNSS antenna",Edge Mount,132289,Amphenol,Connector,1.80,1.80,
U63,1,TPS73641DCQR,"4.1V LDO for GSM module (400mA continuous)",SOT-223,TPS73641DCQR,Texas Instruments,Power IC,1.50,1.50,
"C94-C95",2,"100uF/10V","GSM bulk decoupling (handles 2A transients)",6.3x5.8mm Elec,GVT1A101M6L006VR0,Murata,Capacitor,0.45,0.90,
D40,1,PRTR5V0U2X,"SIM card ESD protection (4-line)",SOT-363,"PRTR5V0U2X,215",Nexperia,Protection,0.15,0.15,
"=== STORAGE ===",,,,,,,,,,,
J80,1,microSD Slot,"microSD push-push with card detect",SMD,104031-0811,Molex,Connector,1.20,1.20,
RN1,1,"47k x4","SD card data line pull-up resistor array",Convex 4x0402,YC164-JR-0747KL,Yageo,Resistor Array,0.05,0.05,
U70,1,W25Q64JVSSIQ,"64Mbit NOR Flash, SPI/Quad-SPI",SOIC-8,W25Q64JVSSIQ,Winbond,Memory IC,1.20,1.20,
U71,1,AT24C256C-SSHL-T,"256Kbit I2C EEPROM, 1M write cycles",SOIC-8,AT24C256C-SSHL-T,Microchip,Memory IC,0.55,0.55,
"R70-R71",2,4.7k,"I2C pull-up resistors (SCL/SDA)",0402,RC0402FR-074K7L,Yageo,Resistor,0.01,0.02,
"C100-C103",4,100nF,"Storage IC decoupling capacitors",0402,GRM155R71C104KA88D,Murata,Capacitor,0.02,0.08,
C101,1,10uF,"SD card bulk decoupling",0805,GRM21BR61A106ME51L,Murata,Capacitor,0.10,0.10,
"=== MOUNTING HARDWARE ===",,,,,,,,,,,
"H1-H6",6,M3 Mounting,"M3 mounting holes with pads (DIN rail compatible)",,,,Mechanical,0.00,0.00,
"=== PCB FABRICATION ===",,,,,,,,,,,
PCB,1,4-Layer PCB,"160x100mm, 4-layer, 1.6mm, FR-4 TG170, ENIG, green mask",,,,PCB Fab,15.00,15.00,
,,,,,,,,,,
"=== TOTALS ===",,,,,,,,,,,
,,"Total Unique Parts:",78,,,,,,
,,"Total Component Count:",~165,,,,,,
,,"Estimated BOM Cost (1pc):",,,,,,~$135.00,
,,"Estimated BOM Cost (100pc):",,,,,,~$85.00,
,,"PCB Cost (1pc):",,,,,,~$15.00,
,,"Assembly Cost (1pc):",,,,,,~$35.00,
